Date,Total Market,Mega Cap,Large Cap,Mid Cap,Small/Mid Cap,Small Cap,Micro Cap,Total Market Australian Hedged,Total Market AUD,Total Market Canadian Hedged,Total Market CAD
2010-04-30,2.13%,0.89%,1.46%,3.81%,,5.20%,7.44%,,,,
2010-05-28,-7.95%,-8.19%,-8.00%,-7.24%,,-7.69%,-7.99%,,,,
2010-06-30,-5.52%,-4.97%,-5.16%,-5.96%,,-7.16%,-7.72%,,,,
2010-07-30,7.16%,7.13%,7.19%,7.40%,,7.33%,5.09%,,,,
2010-08-31,-4.71%,-4.43%,-4.40%,-4.26%,,-6.02%,-7.89%,,,,
2010-09-30,9.50%,8.73%,9.08%,10.53%,,11.68%,11.08%,,,,
2010-10-29,3.96%,3.98%,3.94%,3.78%,,3.85%,5.53%,,,,
2010-11-30,0.67%,-0.24%,0.21%,2.06%,,2.97%,3.33%,,,,
2010-12-31,6.75%,6.49%,6.54%,6.77%,,7.69%,8.58%,,,,
2011-01-31,2.11%,2.35%,2.30%,2.08%,,1.43%,-0.76%,,,,
2011-02-28,3.57%,3.13%,3.26%,3.79%,,5.22%,4.75%,,,,
2011-03-31,0.39%,-0.40%,-0.01%,1.55%,,2.55%,1.38%,,,,
2011-04-29,2.92%,2.92%,2.95%,3.10%,,2.95%,1.05%,,,,
2011-05-31,-1.18%,-1.25%,-1.13%,-0.55%,,-1.41%,-2.42%,,,,
2011-06-30,-1.78%,-1.65%,-1.71%,-1.97%,,-2.17%,-2.59%,,,,
2011-07-29,-2.22%,-1.68%,-2.02%,-3.57%,,-3.64%,-2.57%,,,,
2011-08-31,-5.99%,-5.35%,-5.63%,-6.94%,,-7.99%,-10.35%,,,,
2011-09-30,-7.76%,-6.90%,-7.27%,-9.04%,,-10.97%,-10.87%,,,,
2011-10-31,11.44%,10.70%,11.00%,12.51%,,14.67%,12.43%,,,,
2011-11-30,-0.35%,-0.23%,-0.33%,-0.84%,,-0.41%,-0.92%,,,,
2011-12-30,0.86%,1.19%,0.94%,-0.27%,,0.17%,1.44%,,,,
2012-01-31,5.03%,4.39%,4.72%,6.40%,,6.82%,8.50%,,,,
2012-02-29,4.27%,4.39%,4.39%,4.41%,,3.71%,1.64%,,,,
2012-03-30,3.06%,3.34%,3.15%,2.21%,,2.24%,3.91%,,,,
2012-04-30,-0.71%,-0.69%,-0.68%,-0.60%,,-0.82%,-1.61%,,,,
2012-05-31,-6.19%,-5.97%,-6.12%,-6.89%,,-6.65%,-6.41%,,,,
2012-06-29,3.97%,4.16%,3.94%,2.86%,,3.82%,6.14%,,,,
2012-07-31,1.00%,1.54%,1.25%,-0.19%,,-0.67%,-0.87%,,,,
2012-08-31,2.47%,2.21%,2.33%,2.94%,,3.52%,2.50%,,,,
2012-09-28,2.58%,2.62%,2.54%,2.14%,,2.64%,4.67%,,,,
2012-10-31,-1.79%,-1.97%,-1.84%,-1.17%,,-1.27%,-2.75%,,,,
2012-11-30,0.76%,0.51%,0.66%,1.46%,,1.60%,0.03%,,,,
2012-12-31,1.22%,0.66%,0.97%,2.58%,,2.87%,2.42%,,,,
2013-01-31,5.51%,5.04%,5.32%,6.70%,,6.80%,5.95%,,,5.85%,
2013-02-28,1.31%,1.29%,1.30%,1.36%,,1.41%,0.67%,,,1.41%,
2013-03-28,3.93%,3.67%,3.79%,4.39%,,4.68%,5.53%,,,3.95%,
2013-04-30,1.70%,1.99%,1.94%,1.73%,,0.17%,0.31%,,,1.74%,
2013-05-31,2.37%,2.22%,2.15%,1.83%,,3.62%,4.73%,,,2.54%,5.35%
2013-06-28,-1.25%,-1.35%,-1.32%,-1.15%,,-0.98%,1.06%,,,-1.24%,0.18%
2013-07-31,5.48%,5.18%,5.26%,5.65%,,6.68%,8.01%,,,5.44%,3.01%
2013-08-30,-2.82%,-2.81%,-2.76%,-2.49%,,-3.18%,-3.09%,,,-2.81%,-0.34%
2013-09-30,3.69%,3.07%,3.33%,4.55%,,5.71%,7.10%,,,3.69%,1.40%
2013-10-31,4.24%,4.65%,4.43%,3.39%,,3.28%,2.00%,,,4.38%,5.52%
2013-11-29,2.88%,3.02%,2.85%,2.02%,,2.71%,6.29%,,,3.00%,4.85%
2013-12-31,2.65%,2.60%,2.66%,2.98%,,2.60%,2.34%,,,2.74%,2.62%
2014-01-31,-3.08%,-3.50%,-3.30%,-2.30%,,-2.04%,0.08%,,,-3.12%,1.62%
2014-02-28,4.74%,4.40%,4.68%,6.03%,,5.07%,4.84%,,,4.77%,4.13%
2014-03-31,0.52%,0.88%,0.68%,-0.28%,-0.29%,-0.30%,-1.28%,,,0.59%,0.36%
2014-04-30,0.07%,0.83%,0.55%,-0.83%,-1.53%,-2.31%,-6.30%,,,0.13%,-0.79%
2014-05-30,2.19%,2.39%,2.38%,2.31%,1.78%,1.18%,-0.32%,,,2.23%,1.09%
2014-06-30,2.55%,1.97%,2.15%,3.02%,3.94%,4.98%,5.28%,,,2.58%,0.92%
2014-07-31,-1.96%,-1.20%,-1.43%,-2.51%,-3.65%,-4.93%,-6.59%,,,-1.92%,0.18%
2014-08-29,4.18%,3.91%,4.05%,4.74%,4.86%,4.99%,4.70%,,,4.25%,3.89%
2014-09-30,-2.11%,-1.25%,-1.58%,-3.20%,-4.18%,-5.30%,-5.24%,,,-2.09%,0.83%
2014-10-31,2.75%,2.23%,2.43%,3.44%,3.93%,4.49%,6.52%,,,2.84%,3.40%
2014-11-28,2.42%,2.65%,2.68%,2.83%,1.97%,0.98%,-0.27%,,,2.53%,3.92%
2014-12-31,0.00%,-0.38%,-0.27%,0.27%,0.72%,1.25%,5.19%,,,0.05%,1.60%
2015-01-30,-2.77%,-3.02%,-2.84%,-1.96%,-2.05%,-2.15%,-3.61%,,,-3.04%,6.35%
2015-02-27,5.77%,5.70%,5.76%,6.02%,5.94%,5.84%,5.96%,,,5.76%,4.06%
2015-03-31,-1.01%,-1.77%,-1.41%,0.36%,0.74%,1.19%,2.58%,,,-0.98%,0.29%
2015-04-30,0.43%,1.07%,0.81%,-0.41%,-1.01%,-1.69%,-2.81%,,,0.47%,-4.34%
2015-05-29,1.39%,1.32%,1.28%,1.06%,1.51%,2.02%,2.51%,,,1.41%,4.51%
2015-06-30,-1.71%,-1.92%,-1.90%,-1.81%,-1.37%,-0.87%,1.97%,,,-1.66%,-1.28%
2015-07-31,1.64%,2.16%,2.01%,1.26%,0.52%,-0.29%,-2.09%,1.91%,7.28%,1.73%,6.43%
2015-08-31,-5.99%,-6.20%,-6.02%,-5.12%,-5.45%,-5.83%,-5.81%,-5.99%,-3.44%,-6.10%,-5.43%
2015-09-30,-2.94%,-2.44%,-2.65%,-3.66%,-4.05%,-4.50%,-5.64%,-2.82%,-1.59%,-2.96%,-1.54%
2015-10-30,7.86%,8.71%,8.24%,5.98%,5.85%,5.69%,4.70%,7.87%,6.17%,7.64%,5.69%
2015-11-30,0.55%,0.30%,0.30%,0.28%,1.00%,1.82%,4.30%,0.69%,-1.05%,0.58%,2.69%
2015-12-31,-2.03%,-1.46%,-1.66%,-2.65%,-3.38%,-4.19%,-4.89%,-1.85%,-2.43%,-2.12%,1.51%
2016-01-29,-5.66%,-4.86%,-5.28%,-7.46%,-7.55%,-7.65%,-10.85%,-5.70%,-2.97%,-5.75%,-4.49%
2016-02-29,-0.03%,-0.40%,-0.14%,1.23%,1.08%,0.91%,-1.12%,0.09%,-0.99%,-0.12%,-3.45%
2016-03-31,7.03%,6.62%,6.84%,7.98%,8.17%,8.39%,6.86%,6.75%,-0.62%,6.75%,2.74%
2016-04-29,0.64%,0.43%,0.45%,0.54%,1.10%,1.73%,3.12%,0.79%,1.45%,0.62%,-2.77%
2016-05-31,1.78%,1.76%,1.77%,1.85%,1.89%,1.93%,1.10%,1.98%,7.22%,1.85%,6.38%
